district_code,subdistrict_code,name,population_2011,males,females,area_sqkm
497,03950,Akkalkuwa,215974,108251,107723,928.73
497,03951,Akrani,189661,94690,94971,1280.89
497,03952,Talode,133291,66493,66798,452.94
497,03953,Shahade,346352,174499,171853,1181.27
497,03954,Nandurbar,256409,129260,127149,1022.12
497,03955,Nawapur,231134,114478,116656,1029
498,03956,Shirpur,345232,176012,169220,1504.67
498,03957,Sindkhede,276390,142499,133891,1270.16
498,03958,Sakri,435453,220832,214621,2399.69
498,03959,Dhule,422751,219573,203178,1903.81
499,03960,Chopda,240032,123976,116056,1147.58
499,03961,Yawal,208934,107343,101591,891.96
499,03962,Raver,264459,136669,127790,906.09
499,03963,Muktainagar,163444,84599,78845,639.34
499,03964,Bodvad,91799,47588,44211,372.31
499,03965,Bhusawal,112775,58443,54332,401.54
499,03966,Jalgaon,215813,112866,102947,753.98
499,03967,Erandol,135450,70304,65146,509.99
499,03968,Dharangaon,138072,72232,65840,497.21
499,03969,Amalner,191855,99029,92826,783.31
499,03970,Parola,159197,83335,75862,780
499,03971,Bhadgaon,125675,65176,60499,443.07
499,03972,Chalisgaon,306698,160956,145742,1187.4
499,03973,Pachora,229808,119638,110170,794.43
499,03974,Jamner,303195,158360,144835,1308.94
500,03975,Jalgaon (Jamod),128347,65458,62889,597.21
500,03976,Sangrampur,137092,70369,66723,628.54
500,03977,Shegaon,96444,50129,46315,518.85
500,03978,Nandura,131599,67801,63798,517.77
500,03979,Malkapur,110794,57308,53486,450.88
500,03980,Motala,166598,85986,80612,774.12
500,03981,Khamgaon,226453,117472,108981,1198.51
500,03982,Mehkar,223068,115612,107456,1101.59
500,03983,Chikhli,227432,117528,109904,1105.1
500,03984,Buldana,206244,107518,98726,783.13
500,03985,Deolgaon Raja,94523,49436,45087,468.19
500,03986,Sindkhed Raja,159869,83470,76399,733.4
500,03987,Lonar,128935,67155,61780,662.95
501,03988,Telhara,151373,77848,73525,608.58
501,03989,Akot,162903,83670,79233,835.73
501,03990,Balapur,144818,74462,70356,696.57
501,03991,Akola,233718,120632,113086,1088.2
501,03992,Murtijapur,134355,69380,64975,814.89
501,03993,Patur,117635,60765,56870,731.91
501,03994,Barshitakli,149363,77176,72187,812.97
502,03995,Malegaon,189051,98035,91016,883.15
502,03996,Mangrulpir,144225,74919,69306,731.88
502,03997,Karanja,145917,75060,70857,809.95
502,03998,Manora,156344,80931,75413,753.95
502,03999,Washim,176801,92496,84305,831.84
502,04000,Risod,173409,90286,83123,810.33
503,04001,Dharni,168904,85823,83081,1486.8
503,04002,Chikhaldara,113657,57934,55723,2473.03
503,04003,Anjangaon Surji,104523,53662,50861,527.16
503,04004,Achalpur,167168,85758,81410,650.35
503,04005,Chandurbazar,177499,91200,86299,684.19
503,04006,Morshi,145151,74752,70399,786.8
503,04007,Warud,157754,81278,76476,684.1
503,04008,Teosa,104728,53811,50917,545.02
503,04009,Amravati,141270,73234,68036,782.59
503,04010,Bhatkuli,113109,58015,55094,581.23
503,04011,Daryapur,138598,71090,67508,779.87
503,04012,Nandgaon-Khandeshwar,129810,66661,63149,786.95
503,04013,Chandur Railway,77131,39745,37386,559.3
503,04014,Dhamangaon Railway,111856,57670,54186,640.25
504,04015,Ashti,76276,39319,36957,551.67
504,04016,Karanja,90462,46237,44225,751.12
504,04017,Arvi,103159,53221,49938,901.49
504,04018,Seloo,116789,59970,56819,758.08
504,04019,Wardha,144874,74564,70310,716.34
504,04020,Deoli,106664,54717,51947,676.83
504,04021,Hinganghat,122212,63258,58954,898.06
504,04022,Samudrapur,117038,60588,56450,966.4
505,04023,Narkhed,118003,60742,57261,692.35
505,04024,Katol,120541,61853,58688,884.23
505,04025,Kalameshwar,85457,43904,41553,485.11
505,04026,Savner,127436,65923,61513,618.53
505,04027,Parseoni,95709,48895,46814,779.77
505,04028,Ramtek,131234,66801,64433,1157.54
505,04029,Mauda,125170,64655,60515,606.36
505,04030,Kamptee,96091,49877,46214,365.74
505,04031,Nagpur (Rural),148418,76606,71812,610.4044940408719
505,04032,Nagpur (Urban),0,0,0,0
505,04033,Hingna,121047,63421,57626,737.44
505,04034,Umred,100209,51598,48611,981.51
505,04035,Kuhi,123977,63104,60873,815.72
505,04036,Bhiwapur,81519,40978,40541,674.35
506,04037,Tumsar,176887,88806,88081,823.47
506,04038,Mohadi,137553,69527,68026,484.25
506,04039,Bhandara,153511,77910,75601,614.53
506,04040,Sakoli,122243,61960,60283,625.14
506,04041,Lakhani,120969,60923,60046,388.9
506,04042,Pauni,131767,66334,65433,653.62
506,04043,Lakhandur,123573,62024,61549,424.75
507,04044,Tirora,151073,76216,74857,607.24
507,04045,Goregaon,124890,62022,62868,484.42
507,04046,Gondiya,258574,128568,130006,612.19
507,04047,Amgaon,112760,56169,56591,322.89
507,04048,Salekasa,85482,42598,42884,447.26
507,04049,Sadak-Arjuni,115594,58201,57393,651.42
507,04050,Arjuni Morgaon,148265,74703,73562,988.21
507,04051,Deori,99939,49457,50482,1026.21
508,04052,Desaiganj (Vadasa),54826,27626,27200,236.06
508,04053,Armori,97097,48887,48210,717.9
508,04054,Kurkheda,78643,39784,38859,834.75
508,04055,Korchi,42811,21087,21724,680.44
508,04056,Dhanora,82698,41529,41169,1736.92
508,04057,Gadchiroli,91811,46705,45106,867.86
508,04058,Chamorshi,173486,87873,85613,1312.08
508,04059,Mulchera,45787,23438,22349,735.81
508,04060,Etapalli,81713,40959,40754,2267.3
508,04061,Bhamragad,36325,18319,18006,1420.58
508,04062,Aheri,102383,51317,51066,2273.17
508,04063,Sironcha,67329,33766,33563,1253.89
509,04064,Warora,125008,64116,60892,1012.34
509,04065,Chimur,169547,85898,83649,1142
509,04066,Nagbhir,133020,66886,66134,735.3
509,04067,Brahmapuri,130140,65628,64512,792.83
509,04068,Sawali,107937,54291,53646,663.33
509,04069,Sindewahi,110440,55784,54656,792.06
509,04070,Bhadravati,84309,43358,40951,1127.06
509,04071,Chandrapur,79936,41268,38668,1080.92
509,04072,Mul,89162,44594,44568,476.36
509,04073,Pombhurna,50781,25648,25133,397.81
509,04074,Ballarpur,31854,16741,15113,224.98
509,04075,Korpana,84302,43427,40875,524.51
509,04076,Jiwati,61820,31483,30337,559.15
509,04077,Rajura,99475,50971,48504,879.83
509,04078,Gondpipri,71198,36013,35185,743.92
510,04079,Ner,90930,46645,44285,674.57
510,04080,Babulgaon,88173,45120,43053,570.83
510,04081,Kalamb,103024,52461,50563,753.6
510,04082,Yavatmal,145347,74279,71068,1060.9
510,04083,Darwha,157009,80595,76414,874.54
510,04084,Digras,109355,56626,52729,541.64
510,04085,Pusad,258191,133427,124764,1163.54
510,04086,Umarkhed,211899,108940,102959,1265.98
510,04087,Mahagaon,190252,98088,92164,899.04
510,04088,Arni,161833,82745,79088,850.51
510,04089,Ghatanji,117294,60131,57163,943.58
510,04090,Kelapur,125689,63608,62081,831.5
510,04091,Ralegaon,112203,57384,54819,761.7
510,04092,Maregaon,78713,40099,38614,607.16
510,04093,Zari-Jamani,80147,40364,39783,704.63
510,04094,Wani,144136,74636,69500,911.37
511,04095,Mahoor,99940,51465,48475,519.38
511,04096,Kinwat,207732,105566,102166,1513.97
511,04097,Himayatnagar,109727,56332,53395,474.1
511,04098,Hadgaon,232553,120081,112472,1052.59
511,04099,Ardhapur,109332,56592,52740,300.65
511,04100,Nanded,137229,71413,65816,335.85
511,04101,Mudkhed,92179,47234,44945,317.75
511,04102,Bhokar,105414,53963,51451,688.2
511,04103,Umri,85518,43640,41878,369.57
511,04104,Dharmabad,63035,31733,31302,326.34
511,04105,Biloli,140476,71813,68663,569.62
511,04106,Naigaon (Khairgaon),182868,93913,88955,578.97
511,04107,Loha,217760,112383,105377,841.41
511,04108,Kandhar,224027,115905,108122,795.86
511,04109,Mukhed,266235,137613,128622,919.63
511,04110,Deglur,173369,88514,84855,682.8
512,04111,Sengaon,204122,105810,98312,1143.63
512,04112,Hingoli,184443,94970,89473,936.27
512,04113,Aundha (Nagnath),181148,93094,88054,829.94
512,04114,Kalamnuri,206775,106539,100236,956.83
512,04115,Basmath,222124,114017,108107,903.87
513,04116,Sailu,122259,62505,59754,677.29
513,04117,Jintur,238465,122266,116199,1213
513,04118,Parbhani,230640,118765,111875,1073.8
513,04119,Manwath,84329,43223,41106,480.58
513,04120,Pathri,102193,52457,49736,545.25
513,04121,Sonpeth,73817,38130,35687,375.96
513,04122,Gangakhed,152976,79301,73675,615.08
513,04123,Palam,115382,59737,55645,510.61
513,04124,Purna,146219,75502,70717,609.54
514,04125,Bhokardan,286887,148722,138165,1174.83
514,04126,Jafferabad,163120,84450,78670,724.5
514,04127,Jalna,233441,121069,112372,1086.81
514,04128,Badnapur,153772,79500,74272,778.09
514,04129,Ambad,224156,115434,108722,1147.53
514,04130,Ghansawangi,211108,108705,102403,1118.94
514,04131,Partur,141706,72765,68941,727.7
514,04132,Mantha,167427,86634,80793,822.83
515,04133,Kannad,300260,156496,143764,1496.27
515,04134,Soegaon,113087,58896,54191,653.74
515,04135,Sillod,301733,156949,144784,1153.74
515,04136,Phulambri,161012,83591,77421,718.78
515,04137,Aurangabad,281268,147919,133349,1129.82
515,04138,Khuldabad,102579,53113,49466,506.77
515,04139,Vaijapur,270075,139583,130492,1520.96
515,04140,Gangapur,256168,132914,123254,1235.63
515,04141,Paithan,294930,152364,142566,1412.55
516,04142,Surgana,169553,84667,84886,817.12
516,04143,Kalwan,208362,106130,102232,864
516,04144,Deola,144522,75306,69216,547.6
516,04145,Baglan,336734,173623,163111,1423.88
516,04146,Malegaon,368137,191267,176870,1768.5900000000001
516,04147,Nandgaon,185186,96561,88625,1054.72
516,04148,Chandvad,210508,108814,101694,916.13
516,04149,Dindori,315709,161500,154209,1318.75
516,04150,Peint,119838,60292,59546,556.64
516,04151,Trimbakeshwar,156367,79128,77239,898.38
516,04152,Nashik,175948,90889,85059,549.52
516,04153,Igatpuri,197686,100466,97220,830.22
516,04154,Sinnar,281091,145368,135723,1293.7
516,04155,Niphad,418853,216293,202560,997.32
516,04156,Yevla,221320,114408,106912,1046.22
517,04157,Talasari,154818,76417,78401,255.63
517,04158,Dahanu,338162,166991,171171,986.91
517,04159,Vikramgad,131634,65409,66225,522.02
517,04160,Jawhar,128147,63206,64941,616.69
517,04161,Mokhada,83453,41691,41762,515.79
517,04162,Vada,154416,79495,74921,733.76
517,04163,Palghar,324786,165149,159637,923.32
517,04164,Vasai,113262,57562,55700,220.23
517,04165,Thane,15623,8230,7393,83.73
517,04166,Bhiwandi,277646,146946,130700,621.69
517,04167,Shahapur,243393,123721,119672,1574.75
517,04168,Kalyan,283192,152274,130918,246.51
517,04169,Ulhasnagar,0,0,0,0
517,04170,Ambarnath,125011,65804,59207,245.34
517,04171,Murbad,171927,87241,84686,913.42
518,99999,Area not under any Sub-district,0,0,0,0
519,99999,Area not under any Sub-district,0,0,0,0
520,04172,Uran,90828,46531,44297,284.3
520,04173,Panvel,252477,133230,119247,532.34
520,04174,Karjat,159566,81132,78434,635.01
520,04175,Khalapur,111500,58721,52779,375.66
520,04176,Pen,148824,75700,73124,506.99
520,04177,Alibag,194481,97890,96591,500.25
520,04178,Murud,61991,30401,31590,245.76
520,04179,Roha,119775,60993,58782,639.58
520,04180,Sudhagad,53204,26850,26354,463
520,04181,Mangaon,141078,69537,71541,697.45
520,04182,Tala,40619,19244,21375,247.26
520,04183,Shrivardhan,60952,27774,33178,243.8
520,04184,Mhasla,50235,22899,27336,323.43
520,04185,Mahad,138955,67490,71465,815.87
520,04186,Poladpur,39520,18604,20916,374.8
521,04187,Junnar,373987,189294,184693,1380.67
521,04188,Ambegaon,217096,109583,107513,1030.8
521,04189,Shirur,321644,167526,154118,1517.36
521,04190,Khed,320782,167045,153737,1323.14
521,04191,Mawal,219784,115137,104647,1059.55
521,04192,Mulshi,145373,76032,69341,1011.21
